date,product_type_l,production_units,liters_produced,production_start_time,production_end_time,efficiency,gallons_per_hour,monitored_time_dec,operation_time_dec,pause_time_dec,start_clock,end_clock,production_start_ts,production_end_ts
2022-10-26,3,428,1284,16:42:01.058000,17:58:01.263000,0.5560701766696908,337.87954708176477,1.2667236111111118,0.7043872222222246,0.562336388888887,16:42:01.058000,17:58:01.263000,2022-10-26 16:42:01,2022-10-26 17:58:01
2022-10-28,3,458,1374,16:00:47.534000,17:51:17.840000,0.3892681574575878,248.6763054374866,1.8417516666666667,0.7169352777777748,1.1248163888888918,16:00:47.534000,17:51:17.840000,2022-10-28 16:00:47,2022-10-28 17:51:17
2022-10-31,3,1739,5217,11:09:08.067000,18:20:39.125000,0.4728109604481979,241.79776662660925,7.191960555555551,3.4004377777777752,3.7915227777777756,11:09:08.067000,18:20:39.125000,2022-10-31 11:09:08,2022-10-31 18:20:39
2022-11-03,3,998,2994,11:17:25.503000,16:55:03.094000,0.2907534760673178,177.35573790585477,5.627108611111107,1.636101388888891,3.991007222222216,11:17:25.503000,16:55:03.094000,2022-11-03 11:17:25,2022-11-03 16:55:03
2022-11-08,3,1388,4164,12:35:08.564000,18:44:39.546000,0.528521650506956,225.37567348167087,6.158606111111109,3.2549566666666685,2.9036494444444396,12:35:08.564000,18:44:39.546000,2022-11-08 12:35:08,2022-11-08 18:44:39
2022-11-11,5,574,2870,14:45:16.046000,17:40:06.437000,0.4274377380213946,196.9802650825886,2.9139974999999976,1.2455524999999978,1.6684449999999997,14:45:16.046000,17:40:06.437000,2022-11-11 14:45:16,2022-11-11 17:40:06
2022-11-14,3,330,990,15:31:38.580000,16:29:38.735000,0.5732687193530166,341.36410590907644,0.9667097222222206,0.5541844444444428,0.4125252777777778,15:31:38.580000,16:29:38.735000,2022-11-14 15:31:38,2022-11-14 16:29:38
2022-11-15,3,1322,3966,10:53:50.589000,15:33:51.378000,0.46429634941549486,283.2724105992882,4.666885833333328,2.1668180555555536,2.5000677777777742,10:53:50.589000,15:33:51.378000,2022-11-15 10:53:50,2022-11-15 15:33:51
2022-11-21,5,606,3030,13:26:21.203000,17:51:21.928000,0.2896277371000365,137.20129113609613,4.416868055555551,1.2792474999999928,3.137620555555559,13:26:21.203000,17:51:21.928000,2022-11-21 13:26:21,2022-11-21 17:51:21
2022-11-23,3,944,2832,15:08:43.501000,17:26:43.890000,0.7554043656644657,410.4155010108826,2.3001080555555546,1.7375116666666712,0.5625963888888834,15:08:43.501000,17:26:43.890000,2022-11-23 15:08:43,2022-11-23 17:26:43
2022-11-28,3,1596,4788,12:03:25.944000,18:45:20.591000,0.3219730730456053,238.261833150616,6.698513055555552,2.1567408333333287,4.541885833333332,12:03:25.944000,18:45:20.591000,2022-11-28 12:03:25,2022-11-28 18:45:20
2022-12-02,5,509,2545,12:09:06.330000,15:12:51.841000,0.3864415898727917,166.1963785624088,3.0626419444444406,1.1835322222222078,1.8792455555555672,12:09:06.330000,15:12:51.841000,2022-12-02 12:09:06,2022-12-02 15:12:51
2022-12-05,5,558,2790,11:53:19.953000,15:16:35.534000,0.5300976640637284,164.71539978292154,3.3876613888888856,1.795791388888884,2.2042086111111128,11:53:19.953000,15:16:35.534000,2022-12-05 11:53:19,2022-12-05 15:16:35
2022-12-06,3,1050,3150,07:47:25.428000,16:08:46.108000,0.1735314494220207,125.66205285252866,8.35574444444444,1.4499844444444407,6.859957499999999,07:47:25.428000,16:08:46.108000,2022-12-06 07:47:25,2022-12-06 16:08:46
2022-12-08,3,1856,5568,10:52:48.765000,17:50:49.955000,0.45515328419425094,266.3988431170931,6.966997222222218,3.1710516666666657,3.828948333333328,10:52:48.765000,17:50:49.955000,2022-12-08 10:52:48,2022-12-08 17:50:49
2022-12-13,5,1394,6970,07:05:42.902000,16:58:25.510000,0.2930143930951305,141.11450993695414,9.878502222222213,2.8945433333333397,6.999067777777764,07:05:42.902000,16:58:25.510000,2022-12-13 07:05:42,2022-12-13 16:58:25
2022-12-16,3,225,675,16:32:17.085000,17:31:47.230000,0.41175806584885893,226.88154122591683,0.9917069444444434,0.4083433333333258,0.5833233333333401,16:32:17.085000,17:31:47.230000,2022-12-16 16:32:17,2022-12-16 17:31:47
2022-12-19,5,543,2715,11:02:06.014000,16:46:36.985000,0.1538450709451443,94.56740082505084,5.741936388888883,0.8833686111111159,4.858575833333323,11:02:06.014000,16:46:36.985000,2022-12-19 11:02:06,2022-12-19 16:46:36
2022-12-20,3,1941,5823,11:38:31.928000,17:40:53.656000,0.5186774482690634,321.39119760858034,6.039368888888885,3.1324844444444553,2.9069599999999842,11:38:31.928000,17:40:53.656000,2022-12-20 11:38:31,2022-12-20 17:40:53
2022-12-21,5,2148,10740,09:55:12.024000,18:06:38.591000,0.44440819441612167,262.2482298464927,8.190713055555548,3.6400199999999963,4.3599799999999975,09:55:12.024000,18:06:38.591000,2022-12-21 09:55:12,2022-12-21 18:06:38
2022-12-22,3,1337,4011,10:56:45.276000,17:05:31.335000,0.4162260436890271,217.53535051135873,6.146127499999996,2.5581783333333292,3.4418216666666654,10:56:45.276000,17:05:31.335000,2022-12-22 10:56:45,2022-12-22 17:05:31
2022-12-23,5,1058,5290,09:37:04.858000,12:46:05.398000,0.8138854058095999,335.85702268145985,3.150149999999998,2.56386111111111,1.2041944444444428,09:37:04.858000,12:46:05.398000,2022-12-23 09:37:04,2022-12-23 12:46:05
2022-12-26,3,342,1026,15:47:22.103000,16:42:07.263000,0.5707405423175764,374.7762666049758,0.9125444444444428,0.5208261111111128,0.3916738888888866,15:47:22.103000,16:42:07.263000,2022-12-26 15:47:22,2022-12-26 16:42:07
2022-12-27,3,1203,3609,10:38:21.209000,17:09:45.019000,0.27722328702199484,184.41641283931372,6.52328055555555,1.8084052777777742,4.7149280555555535,10:38:21.209000,17:09:45.019000,2022-12-27 10:38:21,2022-12-27 17:09:45
2022-12-28,3,813,2439,11:09:19.010000,15:29:19.755000,0.32881442520853915,187.60642520597588,4.333540277777774,1.424930555555552,2.9086805555555557,11:09:19.010000,15:29:19.755000,2022-12-28 11:09:19,2022-12-28 15:29:19
2022-12-30,5,1074,5370,10:58:28.719000,16:35:27.362000,0.4343873621983425,191.22945095771277,5.616289722222218,2.439645277777771,3.151188055555558,10:58:28.719000,16:35:27.362000,2022-12-30 10:58:28,2022-12-30 16:35:27
2023-01-02,5,312,1560,17:08:41.653000,18:03:11.809000,0.5326758111845433,343.4698528143615,0.9083766666666657,0.4838702777777777,0.4250186111111104,17:08:41.653000,18:03:11.809000,2023-01-02 17:08:41,2023-01-02 18:03:11
2023-01-11,3,1344,4032,15:12:49.763000,17:30:20.193000,0.7945235581660588,586.4421611964468,2.2917861111111106,1.8208780555555544,0.4707886111111104,15:12:49.763000,17:30:20.193000,2023-01-11 15:12:49,2023-01-11 17:30:20
2023-01-13,3,843,2529,14:29:24.553000,16:44:54.924000,0.5919258789051594,373.2670993734485,2.258436388888886,1.3368269444444483,0.921506388888883,14:29:24.553000,16:44:54.924000,2023-01-13 14:29:24,2023-01-13 16:44:54
2023-01-16,3,1904,5712,11:48:35.570000,18:05:21.637000,0.37885661402313076,303.21063809994035,6.279463055555551,2.3790161111111185,3.620983888888876,11:48:35.570000,18:05:21.637000,2023-01-16 11:48:35,2023-01-16 18:05:21
2023-01-19,3,1123,3369,15:11:28.316000,17:14:13.691000,0.7271613461636363,548.8926225752253,2.0459375,1.4877266666666646,0.6167177777777781,15:11:28.316000,17:14:13.691000,2023-01-19 15:11:28,2023-01-19 17:14:13
2023-01-20,3,1311,3933,15:51:54.015000,18:54:54.527000,0.5417730065774712,429.81602315083325,3.0501422222222208,1.6524847222222216,1.2627930555555538,15:51:54.015000,18:54:54.527000,2023-01-20 15:51:54,2023-01-20 18:54:54
2023-01-24,3,658,1974,15:26:13.249000,16:25:43.401000,0.6218718418711537,663.5011618552936,0.9917088888888889,0.6167158333333287,0.3457841666666705,15:26:13.249000,16:25:43.401000,2023-01-24 15:26:13,2023-01-24 16:25:43
2023-01-27,3,1692,5076,11:05:17.399000,16:24:37.607000,0.4619772394955214,317.90886612504437,5.322279999999997,2.4587722222222217,2.863727777777773,11:05:17.399000,16:24:37.607000,2023-01-27 11:05:17,2023-01-27 16:24:37
2023-01-31,5,855,4275,13:35:45.050000,16:47:30.595000,0.620656909342411,267.52318121392784,3.195984722222221,1.9836100000000079,1.2125011111111013,13:35:45.050000,16:47:30.595000,2023-01-31 13:35:45,2023-01-31 16:47:30
2023-02-07,5,611,3055,13:40:00.791000,16:19:31.245000,0.5642035372616608,229.8323569602865,2.6584594444444423,1.499912222222224,1.1584791666666643,13:40:00.791000,16:19:31.245000,2023-02-07 13:40:00,2023-02-07 16:19:31
2023-02-10,3,1289,3867,10:39:46.118000,15:30:31.916000,0.5020568849874323,265.9895523265834,4.846054999999995,2.432995277777769,2.9042269444444484,10:39:46.118000,15:30:31.916000,2023-02-10 10:39:46,2023-02-10 15:30:31
