date,product_type_l,production_units,liters_produced,production_start_time,production_end_time,efficiency,gallons_per_hour,monitored_time_dec,operation_time_dec,pause_time_dec,start_clock,end_clock,production_start_ts,production_end_ts,pause_ratio,operation_pause_balance,efficiency_rolling_std
2022-07-22,3,2849,8547,11:58:03.777000,20:46:54.717000,0.5745132353469528,562.6158642599534,8.814149999999993,5.063845833333339,3.750304166666653,11:58:03.777000,20:46:54.717000,2022-07-22 11:58:03,2022-07-22 20:46:54,0.4254867646530472,1.3135416666666861,
2022-07-26,3,2243,6729,13:17:44.820000,17:47:45.573000,0.4046376115974337,1231.7719925179722,4.500209166666661,1.8209538888888752,2.6792552777777856,13:17:44.820000,17:47:45.573000,2022-07-26 13:17:44,2022-07-26 17:47:45,0.5953623884025663,-0.8583013888889104,
2022-08-01,3,754,2262,14:32:36.009000,17:33:58.169000,0.269109441507936,926.8934318413712,3.0228222222222203,0.8134699999999998,2.20935222222222,14:32:36.009000,17:33:58.169000,2022-08-01 14:32:36,2022-08-01 17:33:58,0.7308905584920639,-1.3958822222222205,
2022-08-04,3,1090,3270,10:33:05.978000,16:00:04.356000,0.4212542953347112,474.8118600355313,5.4495494444444414,2.2956461111111097,3.1539033333333317,10:33:05.978000,16:00:04.356000,2022-08-04 10:33:05,2022-08-04 16:00:04,0.5787457046652889,-0.858257222222222,
2022-09-02,5,907,4535,11:45:06,16:45:22.748000,0.2879542967465605,629.3754818812649,5.004652222222218,1.44111111111111,3.563541111111108,11:45:06,16:45:22.748000,2022-09-02 11:45:06,2022-09-02 16:45:22,0.7120457032534396,-2.1224299999999983,0.1227323516010284
2022-09-06,3,1262,3786,14:02:58.287000,17:35:58.878000,0.7334178834140013,484.6848257761167,3.550164166666661,2.6037538888888943,0.9464102777777672,14:02:58.287000,17:35:58.878000,2022-09-06 14:02:58,2022-09-06 17:35:58,0.26658211658599884,1.657343611111127,0.18615769912892782
2022-09-08,5,907,4535,10:24:19.220000,15:55:20.145000,0.2395023393925511,686.4367976541905,5.516923611111108,1.3213161111111116,4.195607499999997,10:24:19.220000,15:55:20.145000,2022-09-08 10:24:19,2022-09-08 15:55:20,0.7604976606074489,-2.874291388888885,0.2040770476455943
2022-09-12,5,892,4460,13:34:01.959000,17:09:14.843000,0.3780342950498129,657.8288329868211,3.586912222222221,1.355975833333335,2.230936388888886,13:34:01.959000,17:09:14.843000,2022-09-12 13:34:01,2022-09-12 17:09:14,0.6219657049501871,-0.8749605555555509,0.19344995539089327
2022-09-15,3,1942,5826,10:16:01.432000,16:25:17.450000,0.492191421761799,641.1002950755991,6.154449444444441,3.029167222222223,3.125282222222218,10:16:01.432000,16:25:17.450000,2022-09-15 10:16:01,2022-09-15 16:25:17,0.507808578238201,-0.09611499999999484,0.19686640121141638
2022-09-20,5,780,3900,10:15:10.371000,14:44:55.930000,0.217876812286805,796.2663953462642,4.495988611111108,0.979571666666668,3.51641694444444,10:15:10.371000,14:44:55.930000,2022-09-20 10:15:10,2022-09-20 14:44:55,0.782123187713195,-2.536845277777772,0.21114736248291235
2022-09-22,3,1501,4503,11:00:22.401000,16:37:20.717000,0.4774198306129945,559.8062703150703,5.616198888888886,2.68128472222222,2.934914166666666,11:00:22.401000,16:37:20.717000,2022-09-22 11:00:22,2022-09-22 16:37:20,0.5225801693870055,-0.2536294444444458,0.1287447684218128
2022-09-28,5,406,2030,14:41:58.573000,15:44:43.748000,0.6971675951317001,556.8089089425425,1.0458819444444458,0.7291550000000008,0.3167269444444451,14:41:58.573000,15:44:43.748000,2022-09-28 14:41:58,2022-09-28 15:44:43,0.3028324048682998,0.4124280555555557,0.17510840445038883
2022-09-28,3,146,438,17:53:44.090000,18:30:44.216000,0.3648657778882787,648.8504384925402,0.6167016666666663,0.2250133333333311,0.3916883333333351,17:53:44.090000,18:30:44.216000,2022-09-28 17:53:44,2022-09-28 18:30:44,0.6351342221117212,-0.166675000000004,0.17660177484147763
2022-10-07,3,1282,3846,13:51:09.024000,17:34:54.804000,0.4368571509439252,786.8855142274427,3.7293833333333297,1.6292077777777576,2.1001755555555723,13:51:09.024000,17:34:54.804000,2022-10-07 13:51:09,2022-10-07 17:34:54,0.5631428490560748,-0.47096777777781473,0.17501599730846545
