date,hour_start,hour_end,monitored_time_h,operation_time_h,downtime_h,efficiency,timestamp_start,timestamp_end,duration_sec,hourly_downtime_sec,event_vs_hour_downtime_diff_sec
2022-07-22,12,13,0.9999999999999992,0.4957691666666632,0.5042308333333358,0.4957691666666637,2022-07-22 12:00:00,2022-07-22 13:00:00,1605.0,1815.231000000009,210.2310000000091
2022-07-22,13,14,0.9999999999999992,0.1041144444444464,0.8958855555555527,0.1041144444444466,2022-07-22 13:00:00,2022-07-22 14:00:00,3226.0,3225.1879999999896,-0.8120000000103573
2022-07-22,14,15,0.0,0.0,0.0,0.0,2022-07-22 14:00:00,2022-07-22 15:00:00,0.0,0.0,0.0
2022-07-22,15,16,0.9999999999999992,0.4541538888888863,0.5458461111111128,0.4541538888888867,2022-07-22 15:00:00,2022-07-22 16:00:00,1965.0,1965.0460000000062,0.0460000000061882
2022-07-22,16,17,0.9999999999999992,0.7457441666666746,0.2542558333333244,0.7457441666666753,2022-07-22 16:00:00,2022-07-22 17:00:00,1246.0,915.3209999999679,-330.67900000003215
2022-07-22,17,18,0.9999999999999992,0.5749761111111139,0.4250238888888852,0.5749761111111145,2022-07-22 17:00:00,2022-07-22 18:00:00,1530.0,1530.0859999999868,0.08599999998682506
2022-07-22,18,19,0.9999999999999992,0.5958011111111098,0.4041988888888893,0.5958011111111103,2022-07-22 18:00:00,2022-07-22 19:00:00,1455.0,1455.1160000000013,0.11600000000134969
2022-07-22,20,21,0.9999999999999992,0.7333263888888875,0.2666736111111116,0.7333263888888881,2022-07-22 20:00:00,2022-07-22 21:00:00,2895.0,960.0250000000018,-1934.974999999998
2022-07-26,13,14,0.9999999999999992,0.3791666666666662,0.6208333333333329,0.3791666666666665,2022-07-26 13:00:00,2022-07-26 14:00:00,1350.0,2234.9999999999986,884.9999999999986
2022-07-26,14,15,0.9999999999999992,0.1958333333333331,0.804166666666666,0.1958333333333333,2022-07-26 14:00:00,2022-07-26 15:00:00,3795.0,2894.9999999999977,-900.0000000000023
2022-07-26,15,16,0.9999999999999992,0.5124999999999995,0.4874999999999996,0.5125,2022-07-26 15:00:00,2022-07-26 16:00:00,660.0,1754.9999999999986,1094.9999999999986
2022-07-26,16,17,0.9999999999999992,0.6333688888888845,0.3666311111111146,0.6333688888888851,2022-07-26 16:00:00,2022-07-26 17:00:00,1320.0,1319.8720000000126,-0.1279999999874235
2022-07-26,17,18,0.9999999999999992,0.449956944444446,0.5500430555555531,0.4499569444444464,2022-07-26 17:00:00,2022-07-26 18:00:00,1980.0,1980.154999999991,0.15499999999110514
2022-07-26,18,19,0.9999999999999992,0.0999999999999999,0.8999999999999992,0.0999999999999999,2022-07-26 18:00:00,2022-07-26 19:00:00,540.0,3239.9999999999973,2699.9999999999973
2022-08-01,14,15,0.4999999999999995,0.260001111111112,0.2399988888888875,0.5200022222222245,2022-08-01 14:00:00,2022-08-01 15:00:00,1586.0,863.9959999999951,-722.0040000000049
2022-08-01,15,16,0.9999999999999992,0.0,0.9999999999999992,0.0,2022-08-01 15:00:00,2022-08-01 16:00:00,4500.0,3599.9999999999973,-900.0000000000027
2022-08-01,16,17,0.9999999999999992,0.2658655555555539,0.7341344444444452,0.2658655555555542,2022-08-01 16:00:00,2022-08-01 17:00:00,915.0,2642.8840000000027,1727.8840000000027
2022-08-01,17,18,0.4999999999999995,0.2876033333333338,0.2123966666666657,0.5752066666666682,2022-08-01 17:00:00,2022-08-01 18:00:00,2340.0,764.6279999999965,-1575.3720000000035
2022-08-04,10,11,0.4999999999999995,0.4333288888888887,0.0666711111111108,0.8666577777777782,2022-08-04 10:00:00,2022-08-04 11:00:00,240.0,240.0159999999989,0.015999999998911107
2022-08-04,11,12,0.9999999999999992,0.8291472222222194,0.1708527777777798,0.82914722222222,2022-08-04 11:00:00,2022-08-04 12:00:00,675.0,615.0700000000072,-59.92999999999279
2022-08-04,12,13,0.4999999999999995,0.2124802777777768,0.2875197222222228,0.424960555555554,2022-08-04 12:00:00,2022-08-04 13:00:00,975.0,1035.071000000002,60.07100000000196
2022-08-04,15,16,0.4999999999999995,0.4498722222222251,0.0501277777777744,0.8997444444444511,2022-08-04 15:00:00,2022-08-04 16:00:00,180.0,180.45999999998784,0.45999999998784347
2022-08-04,16,17,0.7499999999999994,0.3708174999999999,0.3791824999999995,0.4944233333333336,2022-08-04 16:00:00,2022-08-04 17:00:00,1365.0,1365.0569999999982,0.05699999999819738
2022-09-02,11,12,0.2499999999999997,0.133332777777776,0.1166672222222237,0.5333311111111048,2022-09-02 11:00:00,2022-09-02 12:00:00,420.0,420.0020000000053,0.0020000000052959876
2022-09-02,12,13,0.9999999999999992,0.1518727777777789,0.8481272222222203,0.151872777777779,2022-09-02 12:00:00,2022-09-02 13:00:00,8025.0,3053.257999999993,-4971.7420000000075
2022-09-02,13,14,0.9999999999999992,0.256418888888892,0.7435811111111071,0.2564188888888923,2022-09-02 13:00:00,2022-09-02 14:00:00,0.0,2676.8919999999857,2676.8919999999857
2022-09-02,14,15,0.9999999999999992,0.483137222222227,0.5168627777777721,0.4831372222222274,2022-09-02 14:00:00,2022-09-02 15:00:00,1305.0,1860.7059999999797,555.7059999999797
2022-09-02,15,16,0.6999999999999994,0.3208080555555467,0.3791919444444526,0.45829722222221,2022-09-02 15:00:00,2022-09-02 16:00:00,1861.0,1365.0910000000292,-495.9089999999708
2022-09-06,14,15,0.9999999999999992,0.7999891666666656,0.2000108333333335,0.7999891666666663,2022-09-06 14:00:00,2022-09-06 15:00:00,720.0,720.0390000000006,0.0390000000005557
