date,hour_start,hour_end,monitored_time_h,operation_time_h,downtime_h,efficiency,timestamp_start,timestamp_end,downtime_ratio,efficiency_loss,zero_operation_flag,throughput_per_hour,production_gallons,hour,weekday
2022-07-22,12,13,0.9999999999999992,0.4957691666666632,0.5042308333333358,0.4957691666666637,2022-07-22 12:00:00,2022-07-22 13:00:00,0.5042308333333363,0.5042308333333363,False,425.0,425.0,12,4
2022-07-22,13,14,0.9999999999999992,0.1041144444444464,0.8958855555555527,0.1041144444444466,2022-07-22 13:00:00,2022-07-22 14:00:00,0.8958855555555534,0.8958855555555534,False,6.0,6.0,13,4
2022-07-22,14,15,0.0,0.0,0.0,0.0,2022-07-22 14:00:00,2022-07-22 15:00:00,,1.0,True,0.0,0.0,14,4
2022-07-22,15,16,0.9999999999999992,0.4541538888888863,0.5458461111111128,0.4541538888888867,2022-07-22 15:00:00,2022-07-22 16:00:00,0.5458461111111133,0.5458461111111133,False,489.99999999999994,490.0,15,4
2022-07-22,16,17,0.9999999999999992,0.7457441666666746,0.2542558333333244,0.7457441666666753,2022-07-22 16:00:00,2022-07-22 17:00:00,0.25425583333332463,0.2542558333333247,False,673.0,673.0,16,4
2022-07-22,17,18,0.9999999999999992,0.5749761111111139,0.4250238888888852,0.5749761111111145,2022-07-22 17:00:00,2022-07-22 18:00:00,0.42502388888888554,0.42502388888888554,False,669.0,669.0,17,4
2022-07-22,18,19,0.9999999999999992,0.5958011111111098,0.4041988888888893,0.5958011111111103,2022-07-22 18:00:00,2022-07-22 19:00:00,0.4041988888888896,0.40419888888888966,False,452.0,452.0,18,4
2022-07-22,20,21,0.9999999999999992,0.7333263888888875,0.2666736111111116,0.7333263888888881,2022-07-22 20:00:00,2022-07-22 21:00:00,0.2666736111111118,0.2666736111111119,False,129.0,129.0,20,4
2022-07-26,13,14,0.9999999999999992,0.3791666666666662,0.6208333333333329,0.3791666666666665,2022-07-26 13:00:00,2022-07-26 14:00:00,0.6208333333333333,0.6208333333333336,False,263.0,263.0,13,1
2022-07-26,14,15,0.9999999999999992,0.1958333333333331,0.804166666666666,0.1958333333333333,2022-07-26 14:00:00,2022-07-26 15:00:00,0.8041666666666667,0.8041666666666667,False,160.0,160.0,14,1
2022-07-26,15,16,0.9999999999999992,0.5124999999999995,0.4874999999999996,0.5125,2022-07-26 15:00:00,2022-07-26 16:00:00,0.4875,0.48750000000000004,False,568.0,568.0,15,1
2022-07-26,16,17,0.9999999999999992,0.6333688888888845,0.3666311111111146,0.6333688888888851,2022-07-26 16:00:00,2022-07-26 17:00:00,0.3666311111111149,0.3666311111111149,False,670.0,670.0,16,1
2022-07-26,17,18,0.9999999999999992,0.449956944444446,0.5500430555555531,0.4499569444444464,2022-07-26 17:00:00,2022-07-26 18:00:00,0.5500430555555536,0.5500430555555536,False,540.0,540.0,17,1
2022-07-26,18,19,0.9999999999999992,0.0999999999999999,0.8999999999999992,0.0999999999999999,2022-07-26 18:00:00,2022-07-26 19:00:00,0.8999999999999999,0.9000000000000001,False,12.0,12.0,18,1
2022-08-01,14,15,0.4999999999999995,0.260001111111112,0.2399988888888875,0.5200022222222245,2022-08-01 14:00:00,2022-08-01 15:00:00,0.4799977777777755,0.4799977777777755,False,168.0,168.0,14,0
2022-08-01,15,16,0.9999999999999992,0.0,0.9999999999999992,0.0,2022-08-01 15:00:00,2022-08-01 16:00:00,1.0,1.0,True,40.0,40.0,15,0
2022-08-01,16,17,0.9999999999999992,0.2658655555555539,0.7341344444444452,0.2658655555555542,2022-08-01 16:00:00,2022-08-01 17:00:00,0.7341344444444458,0.7341344444444458,False,243.00000000000003,243.0,16,0
2022-08-01,17,18,0.4999999999999995,0.2876033333333338,0.2123966666666657,0.5752066666666682,2022-08-01 17:00:00,2022-08-01 18:00:00,0.42479333333333186,0.4247933333333318,False,303.0,303.0,17,0
2022-08-04,10,11,0.4999999999999995,0.4333288888888887,0.0666711111111108,0.8666577777777782,2022-08-04 10:00:00,2022-08-04 11:00:00,0.13334222222222175,0.1333422222222218,False,221.0,221.0,10,3
2022-08-04,11,12,0.9999999999999992,0.8291472222222194,0.1708527777777798,0.82914722222222,2022-08-04 11:00:00,2022-08-04 12:00:00,0.17085277777777994,0.17085277777777996,False,445.0,445.0,11,3
2022-08-04,12,13,0.4999999999999995,0.2124802777777768,0.2875197222222228,0.424960555555554,2022-08-04 12:00:00,2022-08-04 13:00:00,0.5750394444444461,0.575039444444446,False,108.0,108.0,12,3
2022-08-04,15,16,0.4999999999999995,0.4498722222222251,0.0501277777777744,0.8997444444444511,2022-08-04 15:00:00,2022-08-04 16:00:00,0.1002555555555489,0.10025555555554888,False,170.0,170.0,15,3
2022-08-04,16,17,0.7499999999999994,0.3708174999999999,0.3791824999999995,0.4944233333333336,2022-08-04 16:00:00,2022-08-04 17:00:00,0.5055766666666663,0.5055766666666663,False,146.0,146.0,16,3
2022-09-02,11,12,0.2499999999999997,0.133332777777776,0.1166672222222237,0.5333311111111048,2022-09-02 11:00:00,2022-09-02 12:00:00,0.46666888888889535,0.46666888888889524,False,84.0,84.0,11,4
2022-09-02,12,13,0.9999999999999992,0.1518727777777789,0.8481272222222203,0.151872777777779,2022-09-02 12:00:00,2022-09-02 13:00:00,0.8481272222222209,0.848127222222221,False,96.0,96.0,12,4
2022-09-02,13,14,0.9999999999999992,0.256418888888892,0.7435811111111071,0.2564188888888923,2022-09-02 13:00:00,2022-09-02 14:00:00,0.7435811111111077,0.7435811111111077,False,1.0,1.0,13,4
